position_id,position_type,category,principal,current_rate,repricing_date,maturity_date
35,ASSET,CASH_RESERVES,3652027,6.13,2026-08-25,2026-08-25
36,ASSET,CASH_RESERVES,1625667,3.28,2026-08-25,2026-08-25
37,LIABILITY,ISSUED_BOND,816341,2.59,2031-12-05,2031-12-05
38,ASSET,VARIABLE_LOAN,3344286,2.79,2027-02-08,2038-11-19
39,ASSET,FIXED_MORTGAGE,2076967,2.92,2042-03-02,2042-03-02
40,ASSET,VARIABLE_LOAN,3850978,2.69,2026-11-21,2033-03-29
41,ASSET,VARIABLE_LOAN,1149940,7.02,2027-02-07,2031-01-10
42,ASSET,GOVT_BOND,3915462,7.04,2032-08-01,2032-08-01
43,LIABILITY,DEMAND_DEPOSIT,4884423,2.9,2026-08-30,2026-08-30
44,LIABILITY,TERM_DEPOSIT,3975744,6.18,2026-10-28,2026-10-28
45,LIABILITY,DEMAND_DEPOSIT,3327217,4.06,2026-08-25,2026-08-25
46,LIABILITY,TERM_DEPOSIT,4824285,3.79,2027-04-22,2027-04-22
47,LIABILITY,ISSUED_BOND,257647,5.21,2033-02-20,2033-02-20
48,ASSET,FIXED_MORTGAGE,4357183,6.61,2044-11-14,2044-11-14
49,ASSET,VARIABLE_LOAN,4266986,4.75,2026-11-27,2039-10-20
50,ASSET,CASH_RESERVES,930880,6.28,2026-09-06,2026-09-06
51,LIABILITY,TERM_DEPOSIT,75376,4.38,2027-01-27,2027-01-27
52,ASSET,CASH_RESERVES,2144750,4.17,2026-08-28,2026-08-28
53,ASSET,GOVT_BOND,4657898,5.93,2035-08-08,2035-08-08
54,ASSET,GOVT_BOND,3689906,3.55,2032-11-21,2032-11-21
55,ASSET,VARIABLE_LOAN,4039780,4.11,2026-12-17,2041-05-20
56,LIABILITY,TERM_DEPOSIT,1969245,2.7,2026-12-18,2026-12-18
57,LIABILITY,DEMAND_DEPOSIT,4977577,6.95,2026-08-24,2026-08-24
58,ASSET,CASH_RESERVES,3268415,3.64,2026-08-23,2026-08-23
59,ASSET,CASH_RESERVES,1245745,2.89,2026-08-26,2026-08-26
60,ASSET,CASH_RESERVES,3498283,3.11,2026-09-03,2026-09-03
61,LIABILITY,ISSUED_BOND,4376551,6.32,2029-08-19,2029-08-19
62,ASSET,FIXED_MORTGAGE,4031187,3.31,2035-08-31,2035-08-31
63,LIABILITY,TERM_DEPOSIT,2773288,3.1,2026-12-22,2026-12-22
64,ASSET,VARIABLE_LOAN,2729763,7.02,2026-12-26,2033-02-16
65,LIABILITY,TERM_DEPOSIT,4600092,3.07,2026-10-28,2026-10-28
66,ASSET,VARIABLE_LOAN,637949,4.33,2026-12-31,2042-10-07
67,LIABILITY,ISSUED_BOND,3747271,6.73,2035-07-14,2035-07-14
68,ASSET,CASH_RESERVES,2406712,3.09,2026-09-04,2026-09-04
69,ASSET,VARIABLE_LOAN,1969752,5.01,2026-11-23,2042-09-23
70,LIABILITY,TERM_DEPOSIT,1714376,6.69,2027-04-11,2027-04-11
71,LIABILITY,ISSUED_BOND,217365,5.52,2030-03-03,2030-03-03
72,ASSET,CASH_RESERVES,3691565,4.33,2026-09-10,2026-09-10
73,ASSET,GOVT_BOND,4104196,6.03,2028-07-15,2028-07-15
74,ASSET,VARIABLE_LOAN,4863912,5.9,2027-01-04,2043-08-30
75,LIABILITY,TERM_DEPOSIT,3374204,3.86,2027-02-22,2027-02-22
76,LIABILITY,DEMAND_DEPOSIT,3389216,6.69,2026-09-09,2026-09-09
77,LIABILITY,ISSUED_BOND,4019684,6.88,2035-10-24,2035-10-24
78,LIABILITY,ISSUED_BOND,771837,2.81,2030-11-14,2030-11-14
79,ASSET,GOVT_BOND,2493189,3.15,2032-12-12,2032-12-12
80,ASSET,FIXED_MORTGAGE,3763255,5.66,2042-05-16,2042-05-16
81,ASSET,CASH_RESERVES,4201866,2.93,2026-09-16,2026-09-16
82,LIABILITY,ISSUED_BOND,4440166,6.15,2035-07-20,2035-07-20
83,LIABILITY,DEMAND_DEPOSIT,2089339,5.62,2026-09-18,2026-09-18
84,LIABILITY,ISSUED_BOND,1850050,6.59,2029-06-01,2029-06-01
85,LIABILITY,ISSUED_BOND,1482972,5.57,2031-03-19,2031-03-19
86,ASSET,GOVT_BOND,3414227,2.77,2041-05-23,2041-05-23
87,ASSET,VARIABLE_LOAN,3178838,4.26,2026-12-03,2040-09-18
88,ASSET,VARIABLE_LOAN,141311,4.52,2026-12-12,2032-11-18
89,LIABILITY,TERM_DEPOSIT,2163675,6.56,2027-05-06,2027-05-06
90,ASSET,CASH_RESERVES,3542209,5.54,2026-08-23,2026-08-23
91,LIABILITY,TERM_DEPOSIT,525604,7.33,2026-10-27,2026-10-27
92,LIABILITY,ISSUED_BOND,4131854,4.43,2031-05-24,2031-05-24
93,LIABILITY,DEMAND_DEPOSIT,2709435,3.08,2026-08-24,2026-08-24
94,ASSET,CASH_RESERVES,2289618,5.95,2026-09-17,2026-09-17
95,LIABILITY,ISSUED_BOND,640386,7.23,2034-02-17,2034-02-17
96,LIABILITY,DEMAND_DEPOSIT,2936732,3.66,2026-08-22,2026-08-22
97,ASSET,VARIABLE_LOAN,1069612,3.91,2026-12-25,2033-10-13
98,LIABILITY,TERM_DEPOSIT,3168213,4.66,2027-04-24,2027-04-24
99,LIABILITY,TERM_DEPOSIT,4020557,4.77,2027-04-09,2027-04-09
100,LIABILITY,TERM_DEPOSIT,1254947,2.72,2027-07-20,2027-07-20
