position_id,position_type,category,principal,current_rate,repricing_date,maturity_date
54,ASSET,GOVT_BOND,3689906,3.55,11/23/2022,2/12/2034
55,ASSET,VARIABLE_LOAN,4039780,4.11,2/3/2025,5/8/2035
56,LIABILITY,TERM_DEPOSIT,1969245,2.7,3/25/2020,5/27/2026
57,LIABILITY,DEMAND_DEPOSIT,4977577,6.95,6/5/2034,5/30/2027
58,ASSET,CASH_RESERVES,3268415,3.64,2/17/2026,9/12/2024
59,ASSET,CASH_RESERVES,1245745,2.89,7/16/2030,9/26/2029
60,ASSET,CASH_RESERVES,3498283,3.11,8/15/2020,7/3/2026
61,LIABILITY,ISSUED_BOND,4376551,6.32,11/29/2022,9/13/2025
62,ASSET,FIXED_MORTGAGE,4031187,3.31,5/27/2025,5/17/2021
63,LIABILITY,TERM_DEPOSIT,2773288,3.1,1/4/2020,5/8/2026
64,ASSET,VARIABLE_LOAN,2729763,7.02,2/9/2023,2/7/2028
65,LIABILITY,TERM_DEPOSIT,4600092,3.07,1/22/2025,6/24/2029
66,ASSET,VARIABLE_LOAN,637949,4.33,1/11/2022,12/20/2030
67,LIABILITY,ISSUED_BOND,3747271,6.73,11/1/2028,10/11/2022
68,ASSET,CASH_RESERVES,2406712,3.09,5/28/2028,10/27/2029
69,ASSET,VARIABLE_LOAN,1969752,5.01,7/21/2018,12/31/2020
70,LIABILITY,TERM_DEPOSIT,1714376,6.69,5/4/2034,12/7/2017
71,LIABILITY,ISSUED_BOND,217365,5.52,1/7/2018,7/21/2030
72,ASSET,CASH_RESERVES,3691565,4.33,12/16/2023,3/5/2033
73,ASSET,GOVT_BOND,4104196,6.03,12/4/2036,6/26/2030
74,ASSET,VARIABLE_LOAN,4863912,5.9,1/12/2025,2/12/2033
75,LIABILITY,TERM_DEPOSIT,3374204,3.86,8/9/2019,5/3/2027
76,LIABILITY,DEMAND_DEPOSIT,3389216,6.69,1/22/2023,4/23/2034
77,LIABILITY,ISSUED_BOND,4019684,6.88,4/23/2026,9/18/2033
78,LIABILITY,ISSUED_BOND,771837,2.81,11/24/2021,5/6/2021
79,ASSET,GOVT_BOND,2493189,3.15,6/20/2035,12/17/2027
80,ASSET,FIXED_MORTGAGE,3763255,5.66,7/1/2023,11/17/2030
81,ASSET,CASH_RESERVES,4201866,2.93,10/1/2034,10/23/2019
82,LIABILITY,ISSUED_BOND,4440166,6.15,8/17/2026,10/26/2019
83,LIABILITY,DEMAND_DEPOSIT,2089339,5.62,12/2/2023,6/23/2020
84,LIABILITY,ISSUED_BOND,1850050,6.59,5/16/2020,2/4/2023
85,LIABILITY,ISSUED_BOND,1482972,5.57,1/11/2023,3/31/2033
86,ASSET,GOVT_BOND,3414227,2.77,7/14/2020,3/17/2026
87,ASSET,VARIABLE_LOAN,3178838,4.26,4/4/2024,1/25/2031
88,ASSET,VARIABLE_LOAN,141311,4.52,7/26/2034,2/1/2021
89,LIABILITY,TERM_DEPOSIT,2163675,6.56,7/4/2037,7/22/2023
90,ASSET,CASH_RESERVES,3542209,5.54,5/29/2019,7/22/2036
91,LIABILITY,TERM_DEPOSIT,525604,7.33,9/22/2033,3/30/2024
92,LIABILITY,ISSUED_BOND,4131854,4.43,1/27/2029,10/27/2017
93,LIABILITY,DEMAND_DEPOSIT,2709435,3.08,4/11/2026,7/21/2037
94,ASSET,CASH_RESERVES,2289618,5.95,10/28/2027,1/11/2036
95,LIABILITY,ISSUED_BOND,640386,7.23,10/5/2017,6/23/2027
96,LIABILITY,DEMAND_DEPOSIT,2936732,3.66,12/16/2021,2/20/2037
97,ASSET,VARIABLE_LOAN,1069612,3.91,2/14/2033,7/25/2028
98,LIABILITY,TERM_DEPOSIT,3168213,4.66,2/19/2035,7/14/2027
99,LIABILITY,TERM_DEPOSIT,4020557,4.77,11/6/2025,1/9/2036
100,LIABILITY,TERM_DEPOSIT,1254947,2.72,10/12/2018,12/12/2033
